,0
0,左边小姐姐要忍不住了哈哈哈哈
1,注意这位小哥↓
2,猿   形   毕   露
3,强烈要求看花絮！！！
4,这个口技太厉害了，声音很透彻
5,有些人上一秒还在b站，下一秒就到了应用商店
6,左边的小姐姐是真的瘦了好多
7,字里行间我就听见两个字！汪汪汪汪，，，呱呱呱呱
8,金蛋goldenegg！
9,n b n b n b
10,听取呱声一片
11,卧槽
12,卧槽
13,卧槽
14,鸡皮疙瘩
15,太可爱了哈哈哈哈哈哈
16,闻鸡起舞
17,她的手是真的稳
18,哈哈哈哈哈哈哈哈哈
19,韩国的！
20,不行，忍不住了哈哈哈
21,这孩子光呱呱呱去了
22,来时好好的，回不去了
23,woc
24,左下姐姐一股巨魔味儿
25,哈哈哈哈哈哈哈哈哈哈哈哈哈好
26,把你手绑住，看你怎么唱
27,哈哈哈哈哈哈哈哈哈哈哈
28,把手捆住
29,原形毕露那个你别跑
30,给爷整笑了
31,您们
32,666逢考必过！
33,洞洞咚咚咚
34,呱呱呱呱
35,感觉在蹦迪
36,好魔性
37,最喜欢左边的姐姐
38,牛
39,哈哈哈哈哈哈哈
40,666
41,呱呱呱呱呱呱呱呱
42,厉害啊
43,牛逼
44,n b n b n b n b
45,哈哈哈哈
46,厉害​
47,再来亿遍！
48,太厉害啦呀
49,66666
50,注入灵魂
51,你币有了
52,等我把他们身后的数据线拔了他们就没声儿了
53,哈哈哈
54,牛逼啊
55,再来亿遍
56,天呐真的完全一样
57,太像了哈哈哈哈哈哈哈哈哈哈哈哈哈
58,配音演员nb
59,哈哈哈哈哈哈哈哈哈
60,哈哈哈哈哈哈哈哈哈
61,你在家家的瓜 
62,这高音！牛逼！
63,支棱起来了
64,奇怪的
65,关了声音再来一遍，你会收获意外惊喜。
66,！
67,厉害
68,京中有善口技者
69,66
70,6
71,哈哈哈哈哈哈哈哈哈哈哈哈哈
72,不至于不至于猪叫绝了哈哈哈哈哈哈
73,男声厉害
74,全体起立
75,？？？
76,午B
77,呱呱
78,哈哈哈哈哈哈
79,哈哈哈
80,蚌埠住了
81,好活
82,《口技》
83,再来亿遍
84,这是吃了几只小鸟几只猪
85,卧槽
86,京中有善口技者，从此君王不早朝
87,好可爱的表情
88,再来亿遍
89,哈哈哈哈哈
90,左后人形架子鼓
91,左后人形架子鼓
92,卧槽
93,牛
94,百鸟朝凤
95,莫名的喜感
96,牛批
97,暴力
98,您
99,哈哈哈哈
100,Nb
101,京中有善口技者
102,牛x
103,您
104,？？？？？？？？
105,您
106,哈哈哈哈哈
107,哈哈哈哈
108,你怎么憋住不笑的
109,请问韩国人是把你家人怎么了嘛？一上来就说人家韩国佬
110,牛逼啊！
111,郭德纲
112,哈哈哈哈哈哈哈哈
113,好赞！
114,哈哈哈哈哈
115,开幕雷击
116,右下角的小姐姐在憋笑:-D
117,表白右边小姐姐
118,牛逼了
119,哈哈哈哈哈哈哈哈哈
120,阿卡贝拉永远的神
121,阿卡贝拉yyds
122,阿卡贝拉yyds！
123,鸡皮都起来了
124,好家伙
125,牛蛙
126,哈哈哈
127,静音看一次
128,再来亿遍
129,建国之后不许成精
130,把手捆住能发出声音吗
131,哈哈哈哈哈哈好可爱
132,有没有人觉的慎得慌
133,哈卡贝拉牛掰
134,哈卡贝拉
135,厉害啊
136,牛
137,employeeeee
138,好像啊！！！
139,？
140,原来是左面在呱
141,哈哈哈哈哈哈哈
142,哈哈哈
143,呱呱呱
144,左下的小姐姐好辛苦，一直“呱呱呱”
145,哈哈哈哈哈哈哈哈哈哈
146,好神奇
147,太厉害了
148,他们是怎么忍住不笑的
149,有那味了
150,我好废柴
151,神
152,哈哈
153,666
154,牛
155,天啊好可爱
156,卧槽
157,没笑尽然
158,我真的就听了亿遍 ！
159,DNA动了
160,专业
161,哇～又是这个团队
162,哈哈哈哈哈哈哈哈哈
163,京中有善口技者，从此君王不早朝
164,牛啊
165,茉莉~
166,茉莉~
167,呱呱呱
168,卧槽
169,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈怎么回事
170,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
171,错不及防的猪叫
172,这几个人的表情越看越害怕
173,猪叫怎么回事
174,猪的声音笑到我了
175,卧槽
176,哈哈哈哈
177,哈哈哈哈哈哈哈
178,卧槽
179,卧槽
180,包青天？
181,！！
182,京城善有口技者
183,您们
184,卧槽
185,还好哈哈哈
186,给您跪了
187,太像了
188,中分表情帝
189,再来亿遍哈哈哈～(￣▽￣～)~
190,6666
191,群  魔  乱  舞
192,优秀！哈哈哈
193,好好玩啊
194,哈哈哈哈
195,厉害
196,牛啊牛啊
197,注入灵魂
198,我想看花絮
199,您
200,忍住不笑
201,哈哈哈哈
202,厉害了
203,哈哈哈哈哈哈哈哈哈哈强
204,了 奔流。              
205,nb
206,滑稽又可笑
207,细思极恐
208,太憨了
209,你们不会笑吗
210,靠
211,看得我起了一身鸡皮疙瘩
212,您
213,您
214,哈哈哈哈哈哈哈哈哈哈
215,哈哈哈哈哈哈哈哈哈厉害了啊
216,卧槽！
217,nb
218,nb
219,我感觉这一段我能看一天
220,我去，牛批好牛批，我惊了
221,6啊
222,流批
223,绝了绝了
224,我天 勾起了回忆
225,静音有奇效
226,他们怎么不笑场的？
227,右边的那个女生长得好像秀贤
228,爷青回
229,DNA动力
230,听了好几遍了
231,神了
232,群魔乱舞
233,驱魔乱舞
234,哈哈哈哈
235,太牛逼啦
236,(⊙o⊙)哇
237,孤寡孤寡孤寡
238,群魔乱舞
239,禁止吃音响
240,这真的是纯人声么
241,卧槽
242,全员都是猴儿
243,现在的音响越来越像人了
244,返祖现象
245,我真受不了你们了
246,牛逼呀
247,纳尼
248,？？？
249,韩国人？
250,牛逼
251,介意关声音看
252,爷青回！
253,看标题…是台湾组合吗？
254,右边的小姐姐有点像宋轶
255,绝了！
256,卧槽
257,群  魔  乱  舞
258,哈哈哈哈哈哈太强了
259,后面小哥疯了
260,哈哈哈
261,鸡皮疙瘩起来了
262,卧槽
263,哈哈哈哈哈哈哈哈哈哈哈哈
264,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
265,哈哈哈哈哈
266,哈哈哈
267,学猪叫是灵魂。
268,专业团队
269,右边姐姐好好看
270,阿卡贝拉
271,京中有善口技者————
272,哈哈哈哈哈哈哈哈哈
273,哈哈哈哈哈哈哈哈哈哈哈哈
274,哈哈哈哈
275,韩国人吧
276,好家伙
277,NB
278,您
279,嘎嘎嘎
280,阿卡贝拉诶
281,牛逼
282,猪哼哼绝了
283,wc
284,哈哈哈哈
285,莫名想到b-box 
286,哈哈哈哈
287,哈哈哈哈
288,牛批啊
289,把手绑起来，看他们怎么玩
290,！！！前方高能！！！
291,哈哈哈哈哈哈哈
292,顶楼
293,牛逼牛逼牛逼
294,点了
295,牛逼啊
296,nb
297,hhhh
298,牛逼
299,666
300,听取呱声一片
301,谁能回复我一下子，到底是中国人还是外国人？
302,艺术
303,最右边的姐姐...鸡皮疙瘩掉一地
304,卧槽
305,太厉害了吧
306,wryyyyyyyyyyyy
307,开幕雷击。
308,尊敬的卧槽
309,怎么像甩葱歌啊
310,太绝了
311,欢迎回来
312,欢迎回来
313,卧槽
314,卧槽
315,哈哈哈哈哈
316,太搞笑了
317,哈哈哈哈哈哈哈哈哈哈
318,哈哈哈哈哈哈
319,牛批！
320,66666
321,牛～
322,牛逼
323,牛逼
324,这才是正真的嘴强王者
325,5个逗比
326,疯了
327,哈哈哈哈哈哈哈哈哈哈哈哈哈
328,把自己搞笑了
329,卧槽
330,哇哦
331,哈哈哈哈哈哈
332,哈哈哈哈
333,驱魔乱舞
334,他们是怎么忍住笑的？
335,真牛！！！
336,您
337,再来亿遍哈哈哈哈哈
338,这是有多闲啊
339,hhhhhhhh
340,您
341,面相应该是韩国人
342,他们是怎么忍住不笑的
343,哈哈哈哈哈哈哈哈
344,手  舞  足  蹈
345,动  物  园
346,最后那两个好戏呢，楚天霸 
347,你币有了
348,有大病哈哈哈嗝
349,《龙鸣》
350,搞笑了
351,厉害了
352,为什么不能投币哈哈哈哈哈哈哈
353,厉害(゜ロ゜) 
354,xswl
355,听取呱声一片
356,哈哈哈哈哈哈
357,nb
358,哈哈哈
359,快乐源泉
360,群魔乱舞
361,突然，想让这两个小姐姐模仿一下小黄人，哈哈哈
362,牛逼
363,厉害了
364,哈哈哈哈哈
365,京中有善口技者
366,这个太像了
367,哈哈哈哈哈哈
368,太厉害了吧
369,666666
370,6666
371,？？？
372,好可爱啊
373,amazing
374,专业和声
375,再来亿遍
376,牛
377,把手按着就不会唱了
378,愤怒的瓜瓜？
379,把这几个人手绑住是不是就不会了
380,嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎
381,神仙下凡
382,啊～嘿鸭
383,呱呱呱
384,把他们手绑起来是不是就不会了
385,他们怎么不笑的
386,哈哈哈哈哈哈
387,您
388,？
389,太可爱了这个
390,突然开心
391,哈哈哈
392,好家伙
393,阿卡贝拉
394,？？？
395,哈哈哈
396,表白两位小姐姐
397,？？？？？？
398,哈哈哈
399,京中有善口技者
400,头皮发麻
401,我直接卧槽
402,厉害
403,有没有植物大战僵尸
404,天呐
405,我要这硬币有何用
406,牛逼
407,牛蛙
408,现在还在玩的游戏
409,这个太像了
410,？？？？
411,哈哈哈哈哈哈哈哈哈哈
412,哈哈哈哈哈哈救命
413,？？？
414,都是后期
415,hhhhhhhhhhhhhhh
416,禁止放原声（doge）
417,卧槽
418,京中有善口技者
419,呱呱呱呱呱呱呱呱呱
420,好像
421,成功地让我想去再玩一遍愤怒的小鸟
422,再来亿遍
423,开场“卧槽”！
424,鸡皮疙瘩都起来了
425,不像中国人，韩国，还是日本呢
426,讲道理这游戏做的时候也是挺用心的了
427,？？？？？
428,这是广告吧？
429,？？？？
430,你币有了
431,哈哈哈哈哈哈哈哈哈哈哈
432,好可爱啊！
433,听 取 呱 声 一 片
434,厉害厉害
435,太强了
436,哈哈哈哈哈哈哈
437,一人血书求植物大战僵尸！！！
438,笑得我口水喷了一手机
439,哈哈哈哈哈哈哈
440,哇哦哇哦哇哦
441,厉害厉害
442,厉害厉害
443,？？？
444,啊这
445,哈哈哈哈哈哈哈哈哈哈
446,让我想起了非洲那俩小孩
447,666
448,woc
449,他们怎么不笑的
450,专业训练，除非憋不住
451,他们是如何做到不笑场的
452,这是真的吗？
453,一看就是韩国人呀
454,哈哈哈哈好厉害
455,哈哈哈哈，太强大了
456,花 果 山
457,厉害
458,我鸡皮起来了xdm
459,阿卡贝拉
460,牛批
461,歪比巴卜
462,我笑了
463,这里面必有单身狗
464,dna 动了
465,韩国人这群
466,哈哈
467,群魔乱舞
468,猪叫我会
469,哈哈哈哈
470,牛啊
471,开幕雷击
472,哈哈哈哈哈哈哈哈哈
473,牛逼
474,哈哈哈，好活！
475,右一这个是真的像
476,呱呱剐
477,群  魔  乱  舞
478,呱呱呱呱呱呱
479,哈哈哈
480,这是怎么能憋住的？
481,疯了疯了
482,群魔乱舞
483,一个笑场估计全得完蛋
484,除了看起来很牛逼的样子，有什么用啊
485,有钱了，我也买一套这音响
486,头皮发麻
487,妈妈！救命！我出不去了！
488,哈哈哈哈哈哈哈哈
489,好可爱哈哈哈哈哈哈哈
490,太厉害了
491,有点意思
492,太搞笑了哈哈哈哈
493,好厉害！！！！
494,后面蓝领带像五月天的阿信不
495,哈哈哈哈哈哈
496,京中有善口技者
497,牛逼
498,哈哈哈哈哈哈哈
499,哈哈哈哈哈哈哈
500,哈哈哈哈哈哈哈哈
501,哈哈哈哈哈
502,大晚上的在宿舍突然笑出声∠( ᐛ 」∠)_
503,nb
504,哈哈哈
505,哈哈哈哈哈哈哈哈
506,左边妹子是我目前为止唯一在屏幕上看不出是韩国脸的女生
507,呱呱呱
508,好快乐 
509,哈哈哈
510,绝了
511,小姨妈-_-
512,按住后排的手啊
513,哈哈哈哈哈哈哈哈哈
514,吾咦咦咦咦哦哦啊啊啊(doge)
515,您？
516,笑出猪叫
517,？
518,右一韩国人吗？
519,DNA动了
520,颜艺表演
521,怎么做到不笑场的。。
522,？
523,一群鸟人（狗头）
524,强强
525,nb
526,我信了，原来可以配音！
527,阿卡贝拉
528,完美衔接？
529,呱呱呱
530,飞镖黄绝了
531,66666666
532,哈哈哈哈有灵性
533,好想和右边的妹子谈恋爱。
534,鸡犬相闻
535,哈哈哈哈哈哈
536,越来越离谱了
537,？
538,xswl hahahaha
539,哈哈哈哈哈哈
540,wryyyyyyyyyyy
541,这得吃多少牛蛙
542,忽然女高音
543,哈哈哈哈哈哈
544,哈哈哈哈哈哈哈哈哈哈哈哈哈哈我凑哈哈哈哈哈哈哈
545,韩国有善口技者
546,左边这女高音居然这么怪
547,卧槽
548,卧槽槽槽槽槽
549,卧槽
550,哈哈哈哈哈哈哈哈哈哈哈
551,哈哈哈哈哈
552,哈哈哈哈哈哈哈
553,哈哈哈哈哈哈哈
554,哈哈哈哈哈哈哈哈哈哈哈
555,如果把他们手给绑了会怎么样？
556,您
557,茉莉
558,哈哈哈哈哈哈哈哈哈
559,呱呱天团
560,这个猪叫绝了哈哈哈哈哈哈哈
561,这是怎么蚌埠住的？
562,韩国人，这个是韩国组合
563,神仙！
564,呱呱呱
565,乐器转世了2333
566,哈哈哈哈哈哈哈
567,现在的音响越来越像人了
568,太可爱了叭
569,厉害厉害
570,哈哈哈哈
571,卧槽
572, 听的躺在床上的我被手机萌砸
573,猫和老鼠
574,好玩
575,这个6啊，太6了哈哈哈
576,这也行！！！
577,哈哈哈，牛批
578,卧槽
579,汪汪队
580,呱呱呱呱呱呱呱呱呱呱呱
581,牛逼
582,哈哈哈哈哈哈
583,她们是怎么忍住不笑的
584,您
585,瓜瓜
586,应该有笑场很多次吧哈哈哈哈
587,woc哈哈哈哈
588,开幕雷击
589,卧槽
590,。。。！！！！！？？？？？？？？！！！，，。。。
591,！！！！！！！
592,？？？？？！！！！！！。。。。，，
593,。。。。。
594,卧槽
595,太强了
596,哈哈哈哈哈哈哈
597,哈哈哈哈哈哈
598,我怎么觉得右边小姐姐挺好的啊
599,呱呱呱呱
